,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Sr.No,Roundÿ??,Instituteÿ??,Programÿ??,Streamÿ??,Quotaÿ??,Categoryÿ??,Seat Genderÿ??,Opening Rankÿ??,Closing Rankÿ??,Remarkÿ??
59,Round 1,"KIPM COLLEGE OF ENGG. & TECHNOLOGY,GORAKHPUR",Computer Science & Engineering (FW),B.E./B. Tech (Lateral Entry),Home State,OPEN(TF),Both Male and Female Seats,161034,161034,Fresh Only
60,Round 1,"KIPM COLLEGE OF ENGG. & TECHNOLOGY,GORAKHPUR",Computer Science & Engineering (Artificial Intelligence & Machine Learning),B.E./B. Tech (Lateral Entry),Home State,OPEN,Both Male and Female Seats,84152,214086,Fresh Only
61,Round 1,"HARDAYAL TECHNICAL CAMPUS,MATHURA",Civil Engineering,B.E./B. Tech (Lateral Entry),Home State,OPEN,Both Male and Female Seats,101053,115339,Fresh Only
62,Round 1,"ADHUNIK COLLEGE OF ENGG.,GHAZIABAD",Civil Engineering,B.E./B. Tech (Lateral Entry),Home State,OPEN(GIRL),Female Seats,166214,166214,Fresh Only
63,Round 1,"NITRA TECHNICAL CAMPUS,GHAZIABAD",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),Home State,BC(Girl),Female Seats,113791,113791,Fresh Only
64,Round 1,"NITRA TECHNICAL CAMPUS,GHAZIABAD",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),Home State,BC,Both Male and Female Seats,122251,130458,Fresh Only
65,Round 1,"NITRA TECHNICAL CAMPUS,GHAZIABAD",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),Home State,EWS(OPEN),Both Male and Female Seats,157758,157758,Fresh Only
66,Round 1,"NITRA TECHNICAL CAMPUS,GHAZIABAD",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),Home State,OPEN(GIRL),Female Seats,78717,78717,Fresh Only
67,Round 1,"NITRA TECHNICAL CAMPUS,GHAZIABAD",Computer Science & Engineering,B.E./B. Tech (Lateral Entry),Home State,OPEN,Both Male and Female Seats,79973,113804,Fresh Only
68,Round 1,"NITRA TECHNICAL CAMPUS,GHAZIABAD",Computer Science & Engineering (Artificial Intelligence & Machine Learning),B.E./B. Tech (Lateral Entry),Home State,BC(Girl),Female Seats,138969,138969,Fresh Only
69,Round 1,"NITRA TECHNICAL CAMPUS,GHAZIABAD",Computer Science & Engineering (Artificial Intelligence & Machine Learning),B.E./B. Tech (Lateral Entry),Home State,BC,Both Male and Female Seats,132442,132442,Fresh Only
70,Round 1,"NITRA TECHNICAL CAMPUS,GHAZIABAD",Computer Science & Engineering (Artificial Intelligence & Machine Learning),B.E./B. Tech (Lateral Entry),Home State,OPEN(GIRL),Female Seats,106987,106987,Fresh Only
71,Round 1,"NITRA TECHNICAL CAMPUS,GHAZIABAD",Computer Science & Engineering (Artificial Intelligence & Machine Learning),B.E./B. Tech (Lateral Entry),Home State,OPEN,Both Male and Female Seats,120495,125858,Fresh Only
72,Round 1,GREATER NOIDA COLLEGE,Computer Science & Engineering,B.E./B. Tech (Lateral Entry),Home State,OPEN(GIRL),Female Seats,135749,189650,Fresh Only
